thumb,url,full_text,sentiment
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid02X5eYNQfhRnJQeKiwYzZPCqezKr8JnrLMZ22pJa6FkmcbF9Mp1qbw2XBXxChroBKzl,"Matters climate change mitigation and adaptation in Kaptagat

",NEU
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid02ApSN1VxwF3xSCfDyTsv23Ai8HoXCzAQubeDcUyfwhazuvkmXj1wy6x5MDpx5TYEFl,"We The National Treasury led by Cabinet Secretary Prof. Njuguna Ndung’u and myself just finished a two day joint sitting of three National Assembly Committees( the Departmental Committee on Finance and National Planning chaired by @KuriaKimaniMP, Public Debt and Privatization chaired by  @HonAbdi_Shurie and the Budget and Appropriations Committee led by @Ndindi Nyoro).

We discussed matters of mutual and national interest including Public Investments and Portfolio Management (PIPM), public debt management, public private partnerships and other fiscal and economic affairs. 

Overall, the retreat was very successful. We agreed to hold similar ones every year in July. I take this opportunity to thank members of parliament, staff of the National Asembly as well as staff of the National Treasury for their valuable contributions!",
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid0UMBhPZSsoCqj1Kro5PqHRwMzpo8E388X1uqkxtJMAFmxDXoZ3fDM8Dd5yzLUVnGdl,Congratulations. Let us keep greening Kenya in order to mitigate and adopt to the climate change,POS
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid02s2jFBg5sWA5h4ipHTPM6cBVvpXoBE2cFeWq4iLQ7Zp7JhQQPoQtUFAhwGmvRZEZZl,"While here in Rome Italy attending the United Nations Food Systems Summit, we had the opportunity to sample a few tourist attractions.

This afternoon, Cabinet Secretary for Education Hon Ezekiel Machogu and Governor of Nandi County HE Stephen Sang joint me and my colleagues to tour the city of Rome to get an in depth Understanding of the Roman History.

We visited the Vatican on a tour of the Sistine Chapel and the Vatican Museums. We also visited the most significant surviving remnants of the Eternal City: the Colosseum.",NEU
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid02KfwhxSjESSDgDSwQkwVT46rwBrgTKD5Pw3b8i3PYtr7ywit43ykjKRCWdRkjokVYl,"In Rome Italy this week accompanying Deputy President H.E. Rigathi Gachagua, EGH in attending UN Food Systems Summit +2 Stocktaking Moment that is taking place from today 24 to Wednesday 26 July 2023, at the premises of the Food and Agriculture Organization of the United Nations (FAO).

Yesterday, on the margins of the said Food Systems summit, I met Hon Edmondo Cirielli, Deputy Minister of Foreign Affairs & International Cooperation of Italy. We discussed current areas of cooperation on technical, economic & development.

To date, Kenya has received over Euros 1.28 billion (equivalent to Kshs. 181 billion) as development assistance. The funds have benefitted various sectors, including education, health and water services, among others.",
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid01E85ULF9Zaa4Nnpwrhy4wLWmAysuBETUuxXxLFxC93vkxXtD2k4WtD9aoeeQ6QQGl,In Rome Italy,NEU
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid02zWjJT5QEqt9KQtBKRQk1jvEoj4CTtD7x4cVF8hMT7YrbJLVtdTShitVypBfRsuFol,"While in London, yesterday, I met investors at the standard chartered Bank building, to brief them on the state of preparedness of Kenya to refinance the US$ two billion Eurobond that will mature in June 2024. 

Kenya has several liability management options to deal with this debt.",NEU
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid029wscLRtBZvG9K8AEiGkkzn4BcwHm938ECwo3WQtkHzeaNxcQpDjQf6kZrHr8mBqJl,"When designed well and implemented well, Public-private partnerships (PPPs) can bring greater efficiency and sustainability to the provision of public services such as energy, transport, telecommunications, water, healthcare, and education. 

PPPs can also allow for better allocation of risk between public and private entities.

This week, I joined members of the PPP Committee for a capacity building mission at the Crown Agents in London UK. The Kenya government will increasing rely on use of PPPs to support the ongoing fiscal consolidation program.",POS
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid0z4xVaUBbBcoafJE8zvxcmTE1jMQvKQpxuxK5gMcp4FLTxRpByfLpRQSD3THbjni4l,"Last Saturday, Kessup people of EMC, had the pleasure to plant trees and to walk with dignitaries led by President William Ruto",POS
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid0jKqpDacG3nnWQKDQtQPHrZCcRMZVeVgpG1vF7nu2YCwsBEs2WHSqQHFY1szidV1al,"Thank you your excellency William Samoei Ruto and H.E. Rigathi Gachagua, EGH for honoring our invitation to grace the 7th Annual Tree planting activity.

I take this opportunity to thank each and every one that played a role in planning and execution of the event.  Asanteni sana. 

Let’s continue caring about Mother Nature by embracing climate smart ideas including tree 🌲 growing initiatives",POS
,https://www.facebook.com/christopher.kiptoo.5/posts/pfbid0RZ1QVN2TKx1ieJaruZ71NKna6mqaaK62Jc3qhuWWaCyK29izdWq9GAbVvzsSLvoYl,"Flashback: on Friday last week, I joined partners and staff from my ministry in early planting of trees ahead of the major event on a 28 hectares at Kessup Forest Station by HE the president of Kenya during the 7th edition of Annual Kaptagat Tree Planting Exercise held last Saturday at the same place  in Elgeyo Marakwet County.

I thank all the partners and Wananchi who have supported the initiative!",POS
,https://www.facebook.com/christopher.kiptoo.5/posts/10231548957812235:969020257744717,,
,https://www.facebook.com/christopher.kiptoo.5/posts/792835095561476:792835095561476,,
,https://www.facebook.com/christopher.kiptoo.5/posts/10231548934291647:282670784291374,,
